experiment_id,dataset,scheme,group,EvidenceRecall@5/50,EvidenceCoverage@5,AllEvidenceHit@5/50,ContextPrecision@5,MRR,queries,generated_subqueries,query_embeddings,cache_hits,cache_misses,actual_embeddings,retrieval_calls,average_candidates,p50_retrieval_latency_ms,p95_retrieval_latency_ms
20260728T100028Z-multisection-ablation,hard_dev,S2,Overall,0.7222222222222222,0.7123347206975571,0.625,0.19766424079467806,0.5274305555555555,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,PARAPHRASE,0.7857142857142857,0.7709532414783323,0.7142857142857143,0.18107520133460112,0.6984126984126984,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,CODE_BEHAVIOR,0.8571428571428571,0.8038277511961722,0.8571428571428571,0.14551871348124065,0.7023809523809524,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,IMPLICIT_PARAPHRASE,0.75,0.75,0.75,0.15721764654942783,0.1875,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,TERMINOLOGY,0.9166666666666666,0.9164901129943503,0.8333333333333334,0.28799010027048716,0.48333333333333334,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,TERMINOLOGY_DISAMBIGUATION,0.9375,0.9373675847457628,0.875,0.2570266608228055,0.4666666666666667,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,CONSTRAINT_BASED_SELECTION,0.6296296296296297,0.6114564271635186,0.4444444444444444,0.23220917715595965,0.4351851851851852,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,SCENARIO_DIAGNOSIS,0.5909090909090909,0.5966567102428884,0.45454545454545453,0.18190295943592497,0.6060606060606061,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,HARD_NEGATIVE,0.6888888888888889,0.6779849674092222,0.6,0.19197617793497168,0.3722222222222222,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,IMPLEMENTATION_DIFFERENCE,1.0,1.0,1.0,0.17834618148209172,0.75,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,VERSION_IMPLEMENTATION_DIFFERENCE,1.0,1.0,1.0,0.20945238452935383,1.0,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,MULTI_SECTION,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.17962017657840432,0.3611111111111111,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S2,MULTI_SECTION_REASONING,0.4,0.4,0.2,0.18355128215480102,0.36666666666666664,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,Overall,0.7222222222222222,0.7123347206975571,0.625,0.19766424079467806,0.5274305555555555,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,PARAPHRASE,0.7857142857142857,0.7709532414783323,0.7142857142857143,0.18107520133460112,0.6984126984126984,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,CODE_BEHAVIOR,0.8571428571428571,0.8038277511961722,0.8571428571428571,0.14551871348124065,0.7023809523809524,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,IMPLICIT_PARAPHRASE,0.75,0.75,0.75,0.15721764654942783,0.1875,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,TERMINOLOGY,0.9166666666666666,0.9164901129943503,0.8333333333333334,0.28799010027048716,0.48333333333333334,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,TERMINOLOGY_DISAMBIGUATION,0.9375,0.9373675847457628,0.875,0.2570266608228055,0.4666666666666667,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,CONSTRAINT_BASED_SELECTION,0.6296296296296297,0.6114564271635186,0.4444444444444444,0.23220917715595965,0.4351851851851852,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,SCENARIO_DIAGNOSIS,0.5909090909090909,0.5966567102428884,0.45454545454545453,0.18190295943592497,0.6060606060606061,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,HARD_NEGATIVE,0.6888888888888889,0.6779849674092222,0.6,0.19197617793497168,0.3722222222222222,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,IMPLEMENTATION_DIFFERENCE,1.0,1.0,1.0,0.17834618148209172,0.75,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,VERSION_IMPLEMENTATION_DIFFERENCE,1.0,1.0,1.0,0.20945238452935383,1.0,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
20260728T100028Z-multisection-ablation,hard_dev,S3,MULTI_SECTION,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.17962017657840432,0.3611111111111111,48,29,77,77,0,0,77,24.583333333333332,0.09675000910647213,0.4510840226430446
